Feature,Importance
numeric__SGPA_Sem8,0.6853952594997326
numeric__MockInterviewScore,0.10067515800769292
numeric__Projects,0.07798711401459546
categorical__HistoryOfBacklogs_No,0.031603617479253325
numeric__Internships,0.026074170313847414
numeric__SoftSkillsRating,0.025482390499685648
numeric__SGPA_Sem5,0.019500853454064736
numeric__CodingTestScore,0.007337505593603864
categorical__HistoryOfBacklogs_Yes,0.006158486422673241
numeric__Certifications,0.005755426156487297
numeric__CGPA,0.0047166984770540465
categorical__CGPA_Tier_High,0.004159140161943479
numeric__SGPA_Sem7,0.0025304362595285883
numeric__AptitudeTestScore,0.0008921323958757322
numeric__AttendancePercent,0.0008636617317329801
numeric__SGPA_Sem6,0.0006700667270860635
numeric__SGPA_Sem3,0.0001978828051425204
numeric__Workshops,0.0
numeric__SGPA_Sem4,0.0
numeric__SGPA_Sem1,0.0
numeric__SGPA_Sem2,0.0
numeric__IsAnomaly,0.0
numeric__ExtraCurricular,0.0
numeric__Publications,0.0
categorical__Gender_Female,0.0
categorical__City_Chennai,0.0
categorical__Gender_Male,0.0
categorical__City_Ahmedabad,0.0
categorical__City_Bangalore,0.0
categorical__City_Kochi,0.0
categorical__City_Kolkata,0.0
categorical__City_Mumbai,0.0
categorical__City_Pune,0.0
categorical__CollegeTier_Tier1,0.0
categorical__City_Delhi,0.0
categorical__City_Hyderabad,0.0
categorical__City_Jaipur,0.0
categorical__Stream_CS,0.0
categorical__CollegeTier_Tier3,0.0
categorical__CollegeTier_Tier2,0.0
categorical__Stream_Civil,0.0
categorical__Stream_Mechanical,0.0
categorical__Stream_ECE,0.0
categorical__Stream_EE,0.0
categorical__Stream_IT,0.0
categorical__Specialisation_Embedded,0.0
categorical__Specialisation_DataScience,0.0
categorical__Specialisation_AI,0.0
categorical__Specialisation_Networking,0.0
categorical__Hostel_Yes,0.0
categorical__Hostel_No,0.0
categorical__CGPA_Tier_Low,0.0
categorical__CGPA_Tier_Mid,0.0
