Feature,Ridge_L2,Lasso_L1,Elastic_Net,Selected_by_Lasso
StudentID,0.0016903209772641656,0.0,0.0,False
Gender,-0.0008482545673917725,-0.0,-0.0,False
City,0.000994050454046955,0.0,0.0,False
CollegeTier,-0.006214755227835275,-0.0034027892359052175,-0.005035395981992631,True
Stream,-0.0038469362858140218,-0.0,-0.0,False
Specialisation,-0.0018339205068448803,-0.0,-0.0,False
Hostel,0.000626999922238414,0.0,0.0,False
HistoryOfBacklogs,-0.03553596622676875,-0.03470361470891569,-0.03602627957210257,True
SGPA_Sem1,-0.023093391187934,-0.0,-0.0,False
SGPA_Sem2,-0.02579773021468537,-0.0,-0.0,False
SGPA_Sem3,-0.00954550824606376,-0.0,-0.0,False
SGPA_Sem4,-0.00537424146597651,-0.0,-0.0,False
SGPA_Sem5,0.00777266211490033,-0.0,-0.0,False
SGPA_Sem6,0.017883212933212527,-0.0,-0.0,False
SGPA_Sem7,0.013990311327389711,-0.0,-0.0,False
SGPA_Sem8,0.028681072919060045,-0.0,-0.0,False
CGPA,-0.11017631867797559,-0.009462560213665374,-0.04847451457094283,True
AttendancePercent,0.007804437495350811,0.00199604501774747,0.005372425105292998,True
Internships,0.01933403019795731,0.013812488748933559,0.01625240297713418,True
Projects,0.018848788197031088,0.011490283844242626,0.014395065092138882,True
Workshops,-0.005649465573643523,0.0,0.0,False
Certifications,0.0015178440459457912,0.0034500872272923903,0.0030228990839680802,True
Publications,-0.01856879328555537,-0.0,-0.0010929391468021436,False
AptitudeTestScore,0.03339179870017034,0.019281327452522423,0.02598352348890399,True
SoftSkillsRating,0.017450784978215252,0.02803500764164077,0.024620937611604922,True
CodingTestScore,0.026187716427356657,0.0,0.008368065857774958,False
MockInterviewScore,0.007036984539454752,0.02067723988628824,0.015353072355292574,True
ExtraCurricular,-0.04068642272392473,-0.0150586560721572,-0.026008956465957744,True
CGPA_Tier,0.23727303898813618,0.19468608458471406,0.2091716118953677,True
Salary Package,0.5390868369448665,0.42122679564670207,0.46062968374036467,True
IsAnomaly,-0.002063680165656065,-0.0,-0.0,False
