Feature,Ridge_L2,Lasso_L1,Elastic_Net
StudentID,0.0016903209772641656,0.0,0.0
Gender,-0.0008482545673917725,-0.0,-0.0
City,0.000994050454046955,0.0,0.0
CollegeTier,-0.006214755227835275,-0.0034027892359052175,-0.005035395981992631
Stream,-0.0038469362858140218,-0.0,-0.0
Specialisation,-0.0018339205068448803,-0.0,-0.0
Hostel,0.000626999922238414,0.0,0.0
HistoryOfBacklogs,-0.03553596622676875,-0.03470361470891569,-0.03602627957210257
SGPA_Sem1,-0.023093391187934,-0.0,-0.0
SGPA_Sem2,-0.02579773021468537,-0.0,-0.0
SGPA_Sem3,-0.00954550824606376,-0.0,-0.0
SGPA_Sem4,-0.00537424146597651,-0.0,-0.0
SGPA_Sem5,0.00777266211490033,-0.0,-0.0
SGPA_Sem6,0.017883212933212527,-0.0,-0.0
SGPA_Sem7,0.013990311327389711,-0.0,-0.0
SGPA_Sem8,0.028681072919060045,-0.0,-0.0
CGPA,-0.11017631867797559,-0.009462560213665374,-0.04847451457094283
AttendancePercent,0.007804437495350811,0.00199604501774747,0.005372425105292998
Internships,0.01933403019795731,0.013812488748933559,0.01625240297713418
Projects,0.018848788197031088,0.011490283844242626,0.014395065092138882
Workshops,-0.005649465573643523,0.0,0.0
Certifications,0.0015178440459457912,0.0034500872272923903,0.0030228990839680802
Publications,-0.01856879328555537,-0.0,-0.0010929391468021436
AptitudeTestScore,0.03339179870017034,0.019281327452522423,0.02598352348890399
SoftSkillsRating,0.017450784978215252,0.02803500764164077,0.024620937611604922
CodingTestScore,0.026187716427356657,0.0,0.008368065857774958
MockInterviewScore,0.007036984539454752,0.02067723988628824,0.015353072355292574
ExtraCurricular,-0.04068642272392473,-0.0150586560721572,-0.026008956465957744
CGPA_Tier,0.23727303898813618,0.19468608458471406,0.2091716118953677
Salary Package,0.5390868369448665,0.42122679564670207,0.46062968374036467
IsAnomaly,-0.002063680165656065,-0.0,-0.0
